4,6,1,1000
4,5,1,4000
1,4,2,7000
1,5,2,8000
1,4,2,9000
1,5,2,10000
1,4,2,11000
1,5,2,12000
1,3,2,13000
2,3,2,13500
2,3,2,14000
2,3,2,14500
2,3,2,15000
1,7,2,16000
2,7,2,16500
2,7,2,17000
2,7,2,17500
2,7,2,18000
1,2,1,19000
3,8,1,21000
1,3,1,21000
3,9,1,24000
1,2,1,25000
1,3,1,27000
1,4,1,29000
3,2,1,31000
1,4,1,32000
1,5,1,33000
1,6,1,34000
1,7,1,35000
3,4,1,36000
4,2,1,37000
1,5,1,37000
1,5,1,39000
1,5,1,41000
4,3,1,45000
1,6,1,45000
1,6,1,47000
1,6,1,49000
4,4,2,50500
3,2,2,53500
1,8,2,55000
1,3,2,56500
1,4,2,58000
1,5,2,59500
3,7,2,59500
1,5,2,61000
1,4,2,62500
1,3,2,64000
2,3,2,65000
2,3,4,66000
2,3,2,67000
2,4,2,69000
2,4,2,71000
2,4,2,72000
