4,6,30,1000
4,5,30,4000
1,4,40,7000
1,5,41,8000
1,4,42,9000
1,5,43,10000
1,4,44,11000
1,5,45,12000
1,3,40,13000
2,3,40,13500
2,3,40,14000
2,3,40,14500
2,3,40,15000
1,7,40,16000
2,7,40,16500
2,7,40,17000
2,7,40,17500
2,7,40,18000
1,2,35,19000
3,8,35,21000
1,3,35,21000
3,9,35,24000
1,2,35,25000
1,3,35,27000
1,4,35,29000
3,2,35,31000
1,4,35,32000
1,5,35,33000
1,6,35,34000
1,7,35,35000
3,4,35,36000
4,2,30,37000
1,5,35,37000
1,5,35,39000
1,5,35,41000
4,3,35,45000
1,6,35,45000
1,6,35,47000
1,6,35,49000
4,4,40,50500
3,2,40,53500
1,8,40,55000
1,3,40,56500
1,4,40,58000
1,5,40,59500
3,7,40,59500
1,5,40,61000
1,4,40,62500
1,3,37,64000
2,3,37,65000
2,3,37,66000
2,3,37,67000
2,4,40,69000
2,4,40,71000
2,4,40,72000
